Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.099,0.034,0.068,0.002,0.203
9,0.089,0.035,0.056,0.001,0.181
8,0.066,0.035,0.048,0.001,0.150
7,0.067,0.034,0.048,0.001,0.150
6,0.066,0.035,0.048,0.001,0.150
5,0.067,0.035,0.048,0.001,0.151
4,0.066,0.035,0.060,0.001,0.162
3,0.066,0.035,0.048,0.001,0.150
2,0.066,0.035,0.048,0.001,0.150
1,0.066,0.035,0.048,0.000,0.149
