Test,Initialize,Count Variance,Sort,Q10000,Total
10,1.252,0.700,0.732,0.038,2.722
9,1.245,0.669,0.814,0.038,2.766
8,1.232,0.656,0.814,0.038,2.741
7,1.243,0.653,0.813,0.040,2.749
6,1.243,0.653,0.808,0.039,2.744
5,1.227,0.655,0.807,0.040,2.728
4,1.239,0.667,0.808,0.039,2.754
3,1.222,0.649,0.807,0.040,2.717
2,1.226,0.648,0.810,0.039,2.723
1,1.234,0.658,0.810,0.039,2.741
