10,0.100,0.035,0.064,0.003
9,0.089,0.035,0.056,0.001
8,0.066,0.035,0.048,0.001
7,0.069,0.035,0.049,0.001
6,0.068,0.035,0.055,0.001
5,0.067,0.035,0.048,0.001
4,0.066,0.035,0.049,0.001
3,0.067,0.035,0.048,0.001
2,0.066,0.035,0.048,0.001
1,0.069,0.035,0.047,0.001
