Test,Initialize,Count Variance,Sort,Q10000,Total
10,1.259,0.702,0.726,0.038,2.725
9,1.259,0.666,0.809,0.039,2.773
8,1.261,0.669,0.809,0.039,2.778
7,1.256,0.677,0.808,0.039,2.780
6,1.248,0.669,0.804,0.040,2.762
5,1.241,0.667,0.803,0.041,2.752
4,1.250,0.670,0.805,0.040,2.764
3,1.256,0.663,0.803,0.040,2.761
2,1.236,0.677,0.806,0.040,2.758
1,1.236,0.665,0.803,0.040,2.744
