Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.226,0.351,0.719,0.016,1.312
9,0.184,0.327,0.672,0.015,1.198
8,0.184,0.327,0.666,0.015,1.192
7,0.184,0.328,0.667,0.015,1.194
6,0.184,0.327,0.667,0.015,1.193
5,0.184,0.327,0.667,0.015,1.193
4,0.184,0.327,0.667,0.015,1.193
3,0.184,0.327,0.667,0.015,1.193
2,0.185,0.327,0.667,0.015,1.194
1,0.184,0.327,0.667,0.015,1.193
