Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.121,0.063,0.222,0.008,0.414
9,0.081,0.072,0.226,0.003,0.382
8,0.091,0.061,0.225,0.001,0.378
7,0.087,0.059,0.217,0.002,0.365
6,0.090,0.060,0.220,0.001,0.371
5,0.078,0.068,0.245,0.005,0.396
4,0.076,0.069,0.220,0.005,0.370
3,0.077,0.069,0.232,0.002,0.380
2,0.079,0.070,0.237,0.002,0.388
1,0.075,0.071,0.240,0.002,0.388
