Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.097,0.067,0.219,0.009,0.392
9,0.090,0.062,0.214,0.004,0.370
8,0.093,0.061,0.245,0.002,0.401
7,0.083,0.069,0.236,0.002,0.390
6,0.079,0.070,0.228,0.002,0.379
5,0.089,0.060,0.227,0.004,0.380
4,0.076,0.071,0.236,0.001,0.384
3,0.088,0.059,0.224,0.002,0.373
2,0.089,0.058,0.235,0.002,0.384
1,0.078,0.074,0.227,0.002,0.381
