Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.906,0.500,0.485,0.017,1.908
9,0.888,0.534,0.485,0.017,1.924
8,0.883,0.534,0.484,0.017,1.918
7,0.888,0.534,0.487,0.017,1.925
6,0.883,0.532,0.481,0.017,1.913
5,0.888,0.534,0.481,0.017,1.920
4,0.871,0.532,0.482,0.017,1.901
3,0.879,0.534,0.481,0.017,1.911
2,0.881,0.535,0.481,0.017,1.914
1,0.889,0.529,0.482,0.017,1.916
