Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.100,0.065,0.228,0.004,0.397
9,0.096,0.060,0.233,0.003,0.392
8,0.084,0.069,0.225,0.005,0.383
7,0.077,0.070,0.222,0.002,0.371
6,0.079,0.072,0.215,0.002,0.368
5,0.088,0.060,0.233,0.002,0.383
4,0.090,0.060,0.225,0.002,0.377
3,0.089,0.060,0.234,0.002,0.385
2,0.090,0.061,0.248,0.002,0.401
1,0.090,0.060,0.229,0.002,0.381
