Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.019,0.001,0.049,0.000,0.069
9,0.015,0.001,0.044,0.000,0.059
8,0.015,0.001,0.029,0.000,0.044
7,0.015,0.001,0.046,0.000,0.061
6,0.015,0.001,0.049,0.000,0.064
5,0.015,0.001,0.049,0.000,0.064
4,0.015,0.001,0.050,0.000,0.066
3,0.015,0.001,0.051,0.000,0.066
2,0.015,0.001,0.043,0.000,0.058
1,0.015,0.001,0.043,0.000,0.058
