Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.915,0.505,0.484,0.017,1.920
9,0.894,0.534,0.484,0.017,1.929
8,0.889,0.534,0.483,0.017,1.923
7,0.877,0.534,0.484,0.017,1.912
6,0.891,0.535,0.479,0.017,1.922
5,0.885,0.534,0.480,0.017,1.916
4,0.887,0.534,0.479,0.017,1.917
3,0.878,0.535,0.480,0.017,1.910
2,0.881,0.534,0.480,0.017,1.912
1,0.887,0.533,0.480,0.017,1.917
