Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.08,0.04,0.14,0.06,0.319
9,0.05,0.02,0.12,0.06,0.247
8,0.05,0.02,0.12,0.06,0.246
7,0.05,0.02,0.12,0.06,0.245
6,0.05,0.02,0.12,0.07,0.256
5,0.05,0.02,0.13,0.06,0.263
4,0.05,0.02,0.12,0.06,0.245
3,0.05,0.02,0.12,0.06,0.243
2,0.05,0.02,0.12,0.05,0.233
1,0.05,0.02,0.12,0.06,0.254
