Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.017,0.000,0.162,0.000,0.178
9,0.014,0.000,0.159,0.000,0.173
8,0.014,0.000,0.157,0.000,0.171
7,0.014,0.000,0.157,0.000,0.171
6,0.014,0.000,0.157,0.000,0.171
5,0.014,0.000,0.157,0.000,0.171
4,0.014,0.000,0.157,0.000,0.171
3,0.014,0.000,0.157,0.000,0.171
2,0.014,0.000,0.157,0.000,0.171
1,0.014,0.000,0.157,0.000,0.171
