Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.324,0.534,2.620,0.006,3.484
9,0.327,0.534,2.618,0.007,3.486
8,0.320,0.532,2.618,0.007,3.477
7,0.320,0.532,2.618,0.007,3.477
6,0.324,0.530,2.621,0.007,3.482
5,0.320,0.531,2.618,0.006,3.475
4,0.321,0.531,2.611,0.007,3.470
3,0.323,0.530,2.610,0.007,3.470
2,0.320,0.530,2.614,0.007,3.471
1,0.319,0.532,2.611,0.007,3.469
