Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.230,0.349,0.726,0.016,1.321
9,0.185,0.322,0.680,0.015,1.202
8,0.185,0.322,0.676,0.015,1.198
7,0.185,0.322,0.676,0.015,1.198
6,0.185,0.322,0.676,0.015,1.198
5,0.185,0.322,0.676,0.015,1.198
4,0.185,0.322,0.676,0.015,1.198
3,0.185,0.322,0.676,0.015,1.198
2,0.184,0.323,0.689,0.015,1.211
1,0.184,0.322,0.676,0.015,1.197
