Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.019,0.000,0.044,0.000,0.063
9,0.014,0.000,0.040,0.000,0.054
8,0.014,0.000,0.026,0.000,0.041
7,0.014,0.000,0.041,0.000,0.056
6,0.014,0.000,0.045,0.000,0.059
5,0.014,0.000,0.045,0.000,0.059
4,0.014,0.000,0.046,0.000,0.060
3,0.014,0.000,0.047,0.000,0.061
2,0.014,0.000,0.039,0.000,0.053
1,0.014,0.000,0.039,0.000,0.053
