Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.746,0.375,0.487,0.017,1.624
9,0.718,0.422,0.486,0.017,1.643
8,0.720,0.417,0.485,0.017,1.638
7,0.742,0.433,0.487,0.017,1.679
6,0.722,0.442,0.483,0.017,1.664
5,0.724,0.419,0.483,0.017,1.643
4,0.733,0.420,0.484,0.017,1.655
3,0.719,0.419,0.480,0.017,1.635
2,0.736,0.420,0.481,0.017,1.654
1,0.734,0.418,0.481,0.017,1.651
