Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.029,0.000,0.089,0.019,0.137
9,0.029,0.000,0.090,0.020,0.139
8,0.025,0.000,0.089,0.020,0.134
7,0.025,0.000,0.082,0.020,0.126
6,0.025,0.000,0.090,0.020,0.134
5,0.025,0.000,0.081,0.020,0.125
4,0.025,0.000,0.090,0.019,0.134
3,0.025,0.000,0.081,0.019,0.125
2,0.025,0.000,0.090,0.020,0.135
1,0.025,0.000,0.089,0.020,0.134
