Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.08,0.04,0.14,0.06,0.32
9,0.05,0.02,0.12,0.06,0.25
8,0.05,0.02,0.12,0.06,0.24
7,0.05,0.02,0.12,0.06,0.24
6,0.05,0.02,0.12,0.06,0.24
5,0.05,0.02,0.12,0.06,0.24
4,0.05,0.02,0.12,0.06,0.24
3,0.05,0.02,0.12,0.06,0.24
2,0.05,0.02,0.12,0.05,0.23
1,0.05,0.02,0.12,0.06,0.25
