Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.043,0.254,3.234,0.003,3.534
9,0.044,0.261,3.195,0.003,3.503
8,0.043,0.267,3.199,0.001,3.510
7,0.041,0.261,3.180,0.001,3.483
6,0.041,0.259,3.174,0.001,3.475
5,0.044,0.261,3.196,0.001,3.502
4,0.041,0.259,3.257,0.003,3.560
3,0.043,0.265,3.200,0.001,3.509
2,0.043,0.281,3.194,0.001,3.519
1,0.044,0.262,3.178,0.001,3.485
