Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.043,0.228,1.086,0.003,1.360
9,0.041,0.226,0.989,0.001,1.257
8,0.039,0.227,1.047,0.003,1.316
7,0.041,0.228,1.033,0.003,1.305
6,0.042,0.229,0.987,0.001,1.259
5,0.040,0.229,1.055,0.003,1.327
4,0.042,0.228,1.054,0.003,1.327
3,0.042,0.226,0.990,0.001,1.259
2,0.040,0.227,1.054,0.003,1.324
1,0.043,0.229,1.045,0.003,1.320
