Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.242,0.641,3.009,0.007,3.899
9,0.243,0.634,2.928,0.007,3.812
8,0.235,0.641,3.382,0.007,4.265
7,0.268,0.736,3.082,0.007,4.093
6,0.240,0.643,2.977,0.006,3.866
5,0.244,0.638,3.024,0.006,3.912
4,0.249,0.662,3.034,0.007,3.952
3,0.248,0.659,3.029,0.006,3.942
2,0.250,0.677,3.018,0.007,3.952
1,0.253,0.662,3.038,0.007,3.960
