Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.282,0.741,0.682,0.006,1.711
9,0.246,0.718,0.690,0.007,1.661
8,0.244,0.729,0.817,0.007,1.797
7,0.273,0.839,0.830,0.006,1.948
6,0.273,0.849,0.815,0.007,1.944
5,0.252,0.729,0.720,0.006,1.707
4,0.239,0.763,0.756,0.009,1.767
3,0.248,0.731,0.721,0.006,1.706
2,0.244,0.721,0.733,0.006,1.704
1,0.241,0.724,0.719,0.006,1.690
