Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.447,0.529,4.684,0.007,5.667
9,0.283,0.517,4.353,0.030,5.183
8,0.283,0.494,4.346,0.004,5.127
7,0.274,0.521,4.399,0.005,5.199
6,0.273,0.512,4.337,0.004,5.126
5,0.301,0.495,4.369,0.004,5.169
4,0.276,0.524,4.337,0.004,5.141
3,0.272,0.500,4.486,0.004,5.262
2,0.299,0.526,4.530,0.004,5.359
1,0.307,0.528,4.358,0.004,5.197
