Test,Initialize,Count Variance,Sort,Q10000,Total
10,0.110,0.097,0.647,0.006,0.860
9,0.074,0.107,0.628,0.003,0.812
8,0.118,0.076,0.650,0.001,0.845
7,0.115,0.076,0.649,0.001,0.841
6,0.120,0.077,0.648,0.001,0.846
5,0.121,0.076,0.650,0.001,0.848
4,0.118,0.075,0.649,0.001,0.843
3,0.119,0.079,0.664,0.002,0.864
2,0.102,0.096,0.655,0.001,0.854
1,0.117,0.076,0.649,0.001,0.843
