10,0.086,0.122,0.220,0.006,0.434
9,0.076,0.097,0.253,0.003,0.429
8,0.095,0.095,0.219,0.002,0.411
7,0.094,0.094,0.237,0.002,0.427
6,0.113,0.078,0.216,0.002,0.409
5,0.107,0.096,0.224,0.001,0.428
4,0.107,0.095,0.224,0.002,0.428
3,0.094,0.097,0.219,0.001,0.411
2,0.094,0.095,0.222,0.002,0.413
1,0.109,0.077,0.239,0.002,0.427
